Editorial,Comité de lectura de la colección,Comité de lectura de la editorial,Director/a de la colección,Director/a de la editorial,Expertos externos a la colección,Expertos externos a la editorial,Información sobre sistema de revisión de originales en su web
Publicacions Universitat d'Alacant,1,1,1,,1,1,1
Publicacions Universitat Rovira i Virgili,1,1,1,1,1,1,1
Punctum,,1,1,1,,,
Real Diputación de San Andrés de los Flamencos. Fundación Carlos de Amberes,,1,,1,,1,
Recolectores urbanos,,1,1,1,1,1,1
"Revista ""Ciencia Y Tecnología"" De La Universidad Tecnológica Empresarial De Guayaquil",,,,,,1,
RIL editores,,1,,,1,1,1
Sal Terrae,,1,1,,,1,
San Esteban Editorial-Salamanca,1,1,1,1,,,
Sello Editorial Universidad Colegio Mayor de Cundinamarca,,1,,,,1,
Septem Ediciones,,1,,,,1,
Servei de Publicacions de la Universitat Autònoma de Barcelona,,,,,,,1
Servicio de Publicaciones de la Universidad Católica de Ávila,,,,,,,1
Servicio de Publicaciones Universidad de Murcia,1,1,,1,,1,1
Servicio de Publicaciones y Difusión Científica de la ULPGC,,1,,,,1,1
Siglo XXI de España Editores, S.A.,,,,,,,1
SIGNIFER LIBROS,,1,,,,1,
Sílex,1,1,1,,1,1,1
Teófilo Edicións,,,,1,,1,
Teseo,1,,1,1,,1,
Tirant lo Blanch,,1,1,1,,1,
Trotta., S. A. Editorial,,1,,,,1,
Tursen S.A. - H. Blume,,,,,,,1
UAI Editorial,,1,,,,1,
UCOPress. Editorial Universidad de Córdoba,1,,,,1,1,1
Udako Euskal Unibertsitatea / Universidad Vasca de Verano,,1,,,,1,1
UNED,,,1,,1,1,1
Universidad Autónoma de Madrid,,1,,,,1,1
Universidad Católica del Maule,1,1,1,1,1,1,
Universidad de Almería,,,,,,1,1
Universidad de Burgos. Servicio de Publicaciones e Imagen Institucional,,,,,,1,1
Universidad de Cádiz, Sello editorial UCA,1,1,1,,1,1,1
Universidad De Deusto,,,,,,1,1
Universidad De Extremadura,,,,,1,1,1
Universidad de Huelva,,,,,,,1
Universidad de Jaén,1,1,,,,1,
Universidad De La Laguna,,,1,,,1,
Universidad De La Rioja,,,,,,1,
Universidad de León,,,,,,1,1
Universidad de Málaga,,1,,,,1,1
Universidad de Sevilla,1,1,1,1,1,1,1
Universidad de Valladolid,,,,,,,1
Universidad del Norte,1,,,,,1,1
Universidad Del País Vasco,,,1,1,1,1,1
Universidad Francisco de Vitoria,,,1,1,,1,
Universidad Pedagógica Nacional,,1,,,,1,1
Universidad Pontificia Comillas,,,,,1,1,1
Universidad Pública de Navarra,,1,,,,1,
Universidad San Jorge De Zaragoza,1,1,1,1,1,1,
Vernon Art and Science,,1,1,1,,1,1
